N/A,"September 24, 2015
","
1 helpful vote ",lvl_02,"
Dubai, United Arab Emirates
",5,"
Hot tip - you must pre book your ticket on line or with your hotel to avoid long queues on arrival. It's one thing reading about this ancient site or learning about it in school but to actually visit it is fantastic. This was the highlight of our 6 day stay in Rome.
",Colosseum,Stepping back in time. ,4 reviews
9 attraction reviews,"September 24, 2015
","
55 helpful votes ",lvl_04,"
Centennial, Colorado
",5,"
A must see on any trip to Rome. Most have seen pictures of this ancient landmark, but seeing the Colosseum in person is indescribable. I highly recommend a guided tour. I booked ours ahead through Walks of Italy and was very pleased. Prepare to do quite a lot of walking and bring your own water as none is available once...


More  


",Colosseum,Breathtaking!,42 reviews
3 attraction reviews,"September 24, 2015
","
16 helpful votes ",lvl_04,"
Calgary
",4,"
We purchased our ticket at the entrance to palatine hill ( there were maybe 6 people in front of us) there are 2 gates both were very quiet no line as compared to at the collesseum entrance. Take water and a hat or umbrella for shade ( there's limited shaded areas). Pace yourself there's lots to see. We went in...


More  


",Colosseum,Great experience!,26 reviews
40 attraction reviews,"September 24, 2015
","
68 helpful votes ",lvl_06,"
Evergreen, Colorado
",5,"
There is a reason the Colosseum is the top attraction in Rome. It combines history, culture, engineering, and impressive stature. Even in a deteriorated state after 20 centuries, it is an imposing structure.
The descriptive signs, models and pictures provide a deep appreciation for the events that took place here./
TIPS:Definitely order your tickets in advance and avoid the long...


More  


",Colosseum,Meets Expectations,104 reviews
8 attraction reviews,"September 24, 2015
","
24 helpful votes ",lvl_04,"
Scotland
",5,"
I second everything in the excellent review by BradJill posted on 24th September. We visited on an overcast Saturday morning in mid-September, queuing at the Colosseum from 8.15am. After spending over an hour and a half here, we moved onto the Palatine Hill and The Roman Forum (all attractions are close by each other and combined on the one 12...


More  


",Colosseum,Go early or late. Audioguide excellent,34 reviews
20 attraction reviews,"September 24, 2015
","
8 helpful votes ",lvl_04,"
London, United Kingdom
",5,"
Very beautiful... it was interesting to find out there was no entry fee... it was very busy but we still enjoyed it very much. Highly recommended
",Colosseum,mesmerizing,26 reviews
12 attraction reviews,"September 24, 2015
","
30 helpful votes ",lvl_05,"
Goodyear, Arizona
",5,"
I was totally amazed at what it must have taken to build this, if you travel to Rome you must see this.
",Colosseum,Photos Do Not Do it Justice,48 reviews
N/A,"September 24, 2015
","
2 helpful votes ",lvl_02,"
Kenner, Louisiana
",4,"
Buy your tickets online, then once there, pay the money to join a tour group that allows you to skip the usually very long lines, Once inside, drop the tour group and explore on your own. There are self-guided audio tours available for a small fee inside, so enjoy at your own pace!
",Colosseum,Colosseum.....easy way in!,4 reviews
12 attraction reviews,"September 24, 2015
","
24 helpful votes ",lvl_04,"
Gibraltar
",4,"
This amphitheater will take you back in time to the era of gladiators fighting for honor and victory, where the Romans kept the people entertained while they ruled over the people.
The main Colosseum entrance usually sports a long queues to enter the place. It's advisable to book your tickets online in advance or at other counters that are closer...


More  


",Colosseum,An enriching experience that takes you back in time.,40 reviews
4 attraction reviews,"September 24, 2015
","
3 helpful votes ",lvl_03,"
charlotte, United States
",3,"
I booked this tour at my hotel. Overall I was a little disappointed mainly because the English speaking guide had a heavy Italian accent that made it hard to understand her. Also the group was large which made it a little less effective.
The guide did an ok job describing the Colosseum but I felt the tour got somewhat repetitive....


More  


",Colosseum,"An OK tour of the Colosseum, Forum and Palantine Hill booked by Gray Line",16 reviews
21 attraction reviews,"September 24, 2015
","
29 helpful votes ",lvl_04,"
Toronto, Canada
",5,"
The Colosseum was the highlight of our visit to Rome. The massive structure is awe inspiring considering its age, size, and place in Roman history as the center of entertainment. It is in remarkable condition. We took the subway to the adjacent stop to save steps and used our 2-Day Roma Pass to cover our entrance fee and avoid any...


More  


",Colosseum,Highlight of our visit to Rome,38 reviews
30 attraction reviews,"September 24, 2015
","
42 helpful votes ",lvl_05,"
Luton, United Kingdom
",4,"
Huge! No refreshments, but water fountains available. Plan queueing time into your visit if you have not pre purchased. You can imagine the events that took place there hundreds of years ago. Need stout shoes, be prepared to climb steep steps for best views and go along with the crowd, it is very busy.Small gift shops located inside the building....


More  


",Colosseum,No gimmicks required.,69 reviews
N/A,"September 24, 2015
",N/A,N/A,"
Solihull, United Kingdom
",4,"
Went as part of our tour group back in July 2015. We all booked our tickets online and we literally walked STRAIGHT in. Was bit of a shock what with the queues but highly recommend everyone else to do the same when going. Tours of the colosseum itself we chose not to bother with but it was equally great walking...


More  


",Colosseum,Interesting ,1 review
5 attraction reviews,"September 24, 2015
","
3 helpful votes ",lvl_02,"
Sydney
",5,"
To dodge the crowds and walk under the arena, this tour is worth the expense. Our guide was superb. Full of useful information, articulate and keen to please.
",Colosseum,"Colosseum ""Dark Rome"" night tour is excellent",7 reviews
N/A,"September 24, 2015
","
2 helpful votes ",lvl_01,"
Stoke-on-Trent, United Kingdom
",5,"
What can i say, its the Colosseum it speaks for itself. Great in the day and lit up at night its amazing. was having some repair work done to the outer walls when we visited but did not put me off as it still looks awesome.
Tips for visiting it,Queues are massive during the day with some people waiting for...


More  


",Colosseum,Get there early,4 reviews
6 attraction reviews,"September 24, 2015
","
34 helpful votes ",lvl_05,"
Ottawa, Canada
",5,"
A must-see when in Rome. We arrived at 8:30 am in the morning on Sep 24 and only spent 5 minutes in line buying our tickets. If you have not purchased in advance you can avoid the long wait by getting there early. We did not use a tour and just spent an hour walking around reading the signs and...


More  


",Colosseum,Incredible sight,59 reviews
17 attraction reviews,"September 24, 2015
","
19 helpful votes ",lvl_05,"
Toronto, Ontario
",5,"
It was simply just breathtaking. The architecture and the way it was built was just wonderful. If you forget to buy your tickets online and see that the lineup for the Colosseum is very long, then head towards the Roman Forum and get in line there as you can also purchase the tickets there. Don't forget to purchase the walking...


More  


",Colosseum,Amazing,43 reviews
17 attraction reviews,"September 24, 2015
","
45 helpful votes ",lvl_05,"
Aylesbury, United Kingdom
",4,"
Out of my top 3 in Rome, this falls at number 2, with the Vatican being number 1.
The inside is beautiful and it's really great looking at how everything was built and imagining what went on. Id have liked to have seen what it all use to look like before its ageing.
I think one let down of this...


More  


",Colosseum,Number 2 for me,69 reviews
4 attraction reviews,"September 24, 2015
",N/A,lvl_02,"
",5,"
There is nothing that i can actually add about the Colosseum. It's fascinating by all levels but the place is always crowded so book your tickets in advance.
",Colosseum,The Highlight of any trip to Rome!,5 reviews
28 attraction reviews,"September 24, 2015
","
18 helpful votes ",lvl_05,"
Neath, United Kingdom
",5,"
Amazing visit to one of the greatest landmarks in the world, would recommend to anyone in rome for a great day out
",Colosseum,Cooloosseum,55 reviews
